Pump_ID,Event_ID,CardHeader_ID,Card_Type,EPOC_DATE,Card_ID,Position,Load
1,9301,14569,S,1526570812,833116,76,16820
1,9301,14569,S,1526570812,833117,26,16717
1,9301,14569,S,1526570812,833118,28,16627
1,9301,14569,S,1526570812,833119,31,16561
1,9301,14569,S,1526570812,833120,33,16534
1,9301,14569,S,1526570812,833121,68,16551
1,9301,14569,S,1526570812,833122,100,16549
1,9301,14569,S,1526570812,833123,132,16545
1,9301,14569,S,1526570812,833124,168,16563
1,9301,14569,S,1526570812,833125,230,16626
1,9301,14569,S,1526570812,833126,291,16734
1,9301,14569,S,1526570812,833127,352,16865
1,9301,14569,S,1526570812,833128,412,16973
1,9301,14569,S,1526570812,833129,507,17056
1,9301,14569,S,1526570812,833130,595,17040
1,9301,14569,S,1526570812,833131,683,16925
1,9301,14569,S,1526570812,833132,778,16745
1,9301,14569,S,1526570812,833133,890,16588
1,9301,14569,S,1526570812,833134,1003,16403
1,9301,14569,S,1526570812,833135,1116,16172
1,9301,14569,S,1526570812,833136,1229,15943
1,9301,14569,S,1526570812,833137,1366,15745
1,9301,14569,S,1526570812,833138,1498,15573
1,9301,14569,S,1526570812,833139,1630,15423
1,9301,14569,S,1526570812,833140,1765,15282
1,9301,14569,S,1526570812,833141,1914,15199
1,9301,14569,S,1526570812,833142,2060,15045
1,9301,14569,S,1526570812,833143,2206,14960
1,9301,14569,S,1526570812,833144,2352,14906
1,9301,14569,S,1526570812,833145,2509,14865
1,9301,14569,S,1526570812,833146,2641,14821
1,9301,14569,S,1526570812,833147,2770,14781
1,9301,14569,S,1526570812,833148,2898,14778
1,9301,14569,S,1526570812,833149,3038,14772
1,9301,14569,S,1526570812,833150,3198,14764
1,9301,14569,S,1526570812,833151,3332,14748
1,9301,14569,S,1526570812,833152,3470,14716
1,9301,14569,S,1526570812,833153,3627,14623
1,9301,14569,S,1526570812,833154,3786,14471
1,9301,14569,S,1526570812,833155,3946,14262
1,9301,14569,S,1526570812,833156,4105,13961
1,9301,14569,S,1526570812,833157,4264,13641
1,9301,14569,S,1526570812,833158,4420,13343
1,9301,14569,S,1526570812,833159,4575,13096
1,9301,14569,S,1526570812,833160,4730,12820
1,9301,14569,S,1526570812,833161,4884,12551
1,9301,14569,S,1526570812,833162,5035,12304
1,9301,14569,S,1526570812,833163,5183,12123
1,9301,14569,S,1526570812,833164,5330,11961
1,9301,14569,S,1526570812,833165,5477,11814
1,9301,14569,S,1526570812,833166,5622,11703
1,9301,14569,S,1526570812,833167,5760,11583
1,9301,14569,S,1526570812,833168,5898,11438
1,9301,14569,S,1526570812,833169,6035,11219
1,9301,14569,S,1526570812,833170,6172,11039
1,9301,14569,S,1526570812,833171,6302,10981
1,9301,14569,S,1526570812,833172,6430,10943
1,9301,14569,S,1526570812,833173,6557,10894
1,9301,14569,S,1526570812,833174,6684,10779
1,9301,14569,S,1526570812,833175,6809,10651
1,9301,14569,S,1526570812,833176,6927,10509
1,9301,14569,S,1526570812,833177,7045,10316
1,9301,14569,S,1526570812,833178,7163,10183
1,9301,14569,S,1526570812,833179,7280,10097
1,9301,14569,S,1526570812,833180,7390,10124
1,9301,14569,S,1526570812,833181,7497,10233
1,9301,14569,S,1526570812,833182,7605,10440
1,9301,14569,S,1526570812,833183,7714,10625
1,9301,14569,S,1526570812,833184,7819,10780
1,9301,14569,S,1526570812,833185,7917,10887
1,9301,14569,S,1526570812,833186,8016,10977
1,9301,14569,S,1526570812,833187,8116,11062
1,9301,14569,S,1526570812,833188,8217,11145
1,9301,14569,S,1526570812,833189,8309,11207
1,9301,14569,S,1526570812,833190,8401,11261
1,9301,14569,S,1526570812,833191,8492,11437
1,9301,14569,S,1526570812,833192,8584,11571
1,9301,14569,S,1526570812,833193,8671,11720
1,9301,14569,S,1526570812,833194,8754,11915
1,9301,14569,S,1526570812,833195,8838,12068
1,9301,14569,S,1526570812,833196,8922,12170
1,9301,14569,S,1526570812,833197,9000,12161
1,9301,14569,S,1526570812,833198,9074,12109
